Theta,Radius,Area
0,0,0
0.0317333,0,0.55191
0.0634665,0,2.17976
0.0951998,0.47,4.80757
0.126933,1.04527,8.33118
0.158666,1.50705,12.6418
0.1904,1.73607,17.6427
0.222133,1.89903,23.2514
0.253866,2.39112,29.3918
0.285599,2.80114,35.9829
0.317333,3.03616,42.9384
0.349066,3.21909,50.1776
0.380799,3.60917,57.6432
0.412532,3.9765,65.3177
0.444266,4.17846,73.2237
0.475999,4.46663,81.405
0.507732,4.70532,89.8953
0.539465,5.07391,98.6927
0.571199,5.34841,107.748
0.602932,5.53761,116.975
0.634665,5.78027,126.273
0.666398,6.03583,135.561
0.698132,6.2407,144.806
0.729865,6.45746,154.021
0.761598,6.64256,163.236
0.793331,6.84604,172.438
0.825065,7.04641,181.519
0.856798,7.27235,190.252
0.888531,7.40436,198.315
0.920265,7.49815,205.358
0.951998,7.61745,211.077
0.983731,7.69429,215.281
1.01546,7.74526,217.927
1.0472,7.76999,219.116
1.07893,7.77673,219.068
1.11066,7.68566,218.075
1.1424,7.64411,216.45
1.17413,7.60786,214.495
1.20586,7.59763,212.469
1.2376,7.56464,210.564
1.26933,7.52342,208.897
1.30106,7.50261,207.504
1.3328,7.49824,206.351
1.36453,7.50698,205.358
1.39626,7.5177,204.419
1.428,7.51182,203.418
1.45973,7.4873,202.247
1.49146,7.46581,200.818
1.5232,7.42855,199.079
1.55493,7.39629,197.052
1.58666,7.3759,194.857
1.6184,7.31691,192.735
1.65013,7.30058,191.006
1.68186,7.29644,189.973
1.7136,7.32494,189.776
1.74533,7.33687,190.308
1.77706,7.33666,191.233
1.8088,7.37053,192.104
1.84053,7.37715,192.5
1.87226,7.37226,192.162
1.904,7.40255,191.063
1.93573,7.42006,189.369
1.96746,7.42873,187.26
1.9992,7.42791,184.788
2.03093,7.40995,181.887
2.06266,7.35677,178.459
2.0944,7.27338,174.446
2.12613,7.20962,169.863
2.15786,7.12708,164.802
2.18959,7.00541,159.393
2.22133,6.92608,153.764
2.25306,6.82539,148.005
2.28479,6.67157,142.161
2.31653,6.56003,136.237
2.34826,6.42714,130.209
2.37999,6.23003,124.022
2.41173,6.01223,117.594
2.44346,5.81747,110.864
2.47519,5.59794,103.85
2.50693,5.41309,96.6548
2.53866,5.20413,89.4396
2.57039,4.9566,82.3565
2.60213,4.71689,75.4878
2.63386,4.39354,68.8154
2.66559,4.18862,62.2471
2.69733,3.97324,55.6829
2.72906,3.65937,49.0808
2.76079,3.42718,42.4862
2.79253,3.05459,36.0198
2.82426,2.71571,29.8438
2.85599,2.39511,24.1242
2.88773,2.06271,18.994
2.91946,1.73922,14.522
2.95119,1.44174,10.7056
2.98293,1.05624,7.49961
3.01466,0.651838,4.86058
3.04639,0.33,2.77222
3.07813,0,1.2473
3.10986,0,0.314431
3.14159,0,9.09495e-13
